source,target
2975,6384
2975,530
2975,8349
2975,8351
2975,8354
2975,1107983
2975,52057
2975,110380
2975,18471
2975,74611
2975,1407498
6384,530
6384,40644
6384,1779512
6384,1357063
6384,21127
6384,1692944
6384,64
6384,1776
6384,38803
530,529
530,532
530,23458
530,212154
530,20220
8349,8351
8349,8354
8349,1278399
8349,1659326
8349,26466
8349,18269
8349,5606
8349,5632
8349,11367
8349,31028
8349,1397846
8349,2166741
8349,3266
8349,36059
8349,2639
8349,21010
8349,101032
8349,103835
8349,6717
8349,928944
8349,2022250
8349,9979
8349,380
8349,1032
8349,138
8349,514
8349,6193
8349,1892
8349,2641
8349,92029
8349,218506
8349,4001066
8349,1197772
8349,3895
8349,2098136
8349,2098137
8349,2098138
8351,8354
1107983,52057
1107983,110380
1107983,181934
1107983,496175
1107983,1280183
1107983,1006651
1107983,2855535
1107983,2939212
1107983,237876
1107983,180659
1107983,1165240
1107983,2787630
1107983,89289
1107983,21111
1107983,73988
1107983,1050881
1107983,2102583
1107983,2803017
1107983,2803001
1107983,2954
1107983,33663
1107983,2301996
1107983,214317
1107983,13716
1107983,117180
1107983,23626
1107983,937663
1107983,1931175
1107983,12951
1107983,2998183
1107983,1231277
52057,110380
52057,2535
52057,225620
52057,1683093
52057,79538
52057,1562353
52057,53572
52057,21356
52057,168325
52057,1038
52057,4173
52057,349
110380,19011
110380,146687
110380,74266
110380,1507609
110380,1507612
110380,1507613
110380,1122373
110380,1122374
110380,1122375
18471,74611
18471,1407498
18471,1897
18471,77896
18471,2395
18471,1735828
18471,53397
18471,1224841
18471,539
18471,111513
18471,514
18471,6193
18471,1892
74611,1407498
74611,2682390
74611,2227
74611,4430
74611,14837
74611,5823
74611,3141
74611,14386
74611,84932
74611,1680929
1407498,2395
1407498,1735828
1407498,53397
1407498,102786
1407498,128550
1407498,2320880
40644,1779512
40644,1357063
40644,2710
40644,4587
40644,8691
40644,72129
40644,189111
40644,23964
40644,16483
40644,976
40644,1336
1779512,1357063
1357063,3894
1357063,1892
1357063,19498
21127,1692944
21127,9827
21127,143103
21127,21708
21127,72983
21127,124909
21127,4038
21127,18992
21127,2047
21127,4730
21127,9464
21127,14409
64,1776
64,1415341
64,1267653
64,1003
64,524
64,38803
64,3894
64,1810
64,3895
64,958722
64,41381
64,10980
64,10989
64,10990
64,219479
64,1101349
64,1407495
64,3361135
64,1812
64,2037
64,5081
64,1892
1776,2559324
1776,2559325
1776,27888
1776,2630
1776,958722
1776,41381
1776,38803
1776,151007
1776,1769
1776,19772
1776,1
1776,7879
1776,1666
1776,2226
1776,16178
1776,11181
1776,14639
1776,1032
1776,1006721
1776,11483
1776,8349
1776,8351
1776,8354
38803,151007
38803,5953
38803,325
38803,3125
38803,3084
38803,1158
38803,3085
38803,3087
38803,3092
529,532
529,46300
529,27889
529,1331
532,6384
532,2975
532,7187
532,57371
532,3034
23458,212154
23458,20220
23458,3971
23458,1262612
23458,934844
23458,2339151
212154,41089
212154,105303
212154,20220
1278399,1659326
26466,18269
18269,21200
5606,5632
5606,13611
5606,10750
5606,8261
5606,54693
5606,19492
5606,6944
5606,1666
5606,2226
5606,1776
11367,31028
31028,192
31028,287
31028,12052
1397846,2166741
3266,26009
3266,1067583
3266,36059
3266,10427
3266,781
3266,33
3266,5149
3266,2710
3266,4587
3266,8691
36059,42206
36059,10167
36059,1226195
36059,13637
36059,5320
36059,1641
36059,10447
2639,2496
2639,22091
21010,76184
21010,75781
21010,101032
21010,83908
21010,1748
21010,8499
21010,16896
21010,8857
21010,15395
103835,6717
6717,6474
6717,69122
6717,65344
6717,6677
6717,6678
6717,6714
928944,2022250
928944,9979
2022250,9979
9979,56890
9979,46393
9979,9789
9979,6449
9979,1353815
9979,1353816
9979,20212
9979,41249
9979,1841281
9979,1225302
9979,3546502
9979,118764
9979,36281
9979,3199207
9979,3199208
9979,1800382
9979,3474911
9979,82128
9979,13567
9979,25834
9979,1204293
9979,2027993
9979,20959
9979,57829
9979,7447
9979,9560
9979,3085
9979,1066777
9979,65013
9979,4808
9979,1
9979,1776
9979,7879
9979,2045089
9979,4687
9979,2045090
9979,60642
9979,22865
9979,13301
380,1038
380,1036
380,4512
380,4513
380,4430
380,4517
380,4690
380,3096
380,1032
380,138
380,11477
380,73421
380,1545693
380,11478
380,6193
380,819
380,63
380,16514
380,1158
380,3087
380,3092
380,1006721
380,11483
380,1044
380,3661
380,16178
380,11181
380,14639
380,3084
380,73641
380,1202593
380,33684
380,15189
380,18514
380,4955
380,138986
380,53397
380,7904
380,7447
380,85564
380,61110
380,707
1032,1006721
1032,11483
1032,16514
1032,1130439
1032,108650
1032,2585
1032,100200
1032,138
1032,1044
1032,3661
1032,5026
1032,132305
1032,18598
1032,3636
1032,109410
1032,4135
1032,1052109
1032,1146050
1032,1052108
1032,11478
1032,6193
1032,83198
1032,101377
1032,141
1032,1666
1032,2226
1032,155890
1032,2210813
1032,2879828
1032,190
1032,14701
1032,6449
1032,3264451
1032,1034310
1032,126750
1032,9979
1032,9789
1032,1038
1032,1036
1032,21007
1032,234352
138,2545
138,141
138,8891
138,8892
138,2231
138,2346444
138,2346445
138,2346446
138,1037
138,3129
138,147
138,139
138,2165
138,4001066
138,1197772
138,3895
138,4430
138,6449
138,516
138,134
138,27319
138,6193
138,1259
138,1002674
138,30657
138,287
138,19119
514,1370
514,7071
514,10409
514,10410
514,6193
514,1892
514,34947
514,1262612
514,21200
514,15189
514,18514
514,4955
514,61110
514,707
514,7447
6193,103
6193,2282
6193,24045
6193,3899
6193,21007
6193,234352
6193,1892
6193,16418
6193,15831
6193,134
6193,27319
6193,11478
6193,9261
6193,488
6193,2689
6193,31
6193,1206
6193,70851
1892,2157
1892,880
1892,1231844
1892,1214256
1892,3894
1892,19498
1892,578
1892,1023139
1892,2037
1892,5081
1892,31
1892,3197
1892,12833
1892,1810
1892,3361135
1892,1812
1892,10297
1892,1813
1892,83002
1892,21037
1892,1800494
1892,1775343
2641,1205143
2641,1205144
2641,92029
2641,218506
2641,2222
2641,18878
2641,9111
2641,98234
2641,2282
2641,24589
2641,24590
2641,11770
2641,515
2641,349
92029,218506
4001066,1197772
4001066,3895
1197772,3895
3895,1291312
3895,2983750
3895,3894
3895,1810
3895,6968
3895,39998
3895,7506
3895,6969
3895,568657
3895,10297
3895,1813
3895,83002
3895,9979
3895,9789
3895,6449
3895,290
3895,8606
3895,1304968
3895,6952
3895,114454
3895,10017
3895,6193
3895,24045
3895,3899
3895,525
3895,15556
3895,3361135
3895,1812
2098136,2098137
2098136,2098138
2098137,2098138
181934,496175
181934,229579
181934,220717
181934,1229925
181934,2535
181934,2391
181934,1753
496175,179512
496175,1865991
496175,59785
496175,84932
496175,16450
1280183,1006651
1280183,180659
1280183,1165240
1006651,210695
1006651,1258041
1006651,1236577
2855535,2939212
237876,1374664
237876,1010125
180659,1385039
180659,1641150
180659,1165240
180659,1006651
2787630,938972
2787630,2149806
2787630,89289
2787630,1386798
2787630,100709
2787630,2803017
2787630,2803001
2787630,21111
2787630,13348
2787630,1247141
2787630,2802990
89289,117418
89289,1188876
89289,82702
89289,54421
89289,207070
89289,52057
89289,110380
89289,1280183
89289,1006651
89289,181934
89289,496175
89289,1122373
89289,1122374
89289,1122375
89289,61399
89289,1232728
89289,1723195
89289,1219050
89289,14414
89289,65605
21111,1050881
21111,73988
21111,7447
21111,2102583
21111,7571
21111,84378
21111,1420
21111,2102600
21111,2803017
21111,2803001
21111,225009
21111,6431
21111,8289
21111,214317
21111,13716
21111,117180
21111,1461
21111,95778
21111,1230060
21111,1152
21111,3331792
21111,120578
21111,57738
21111,1141815
21111,1204877
21111,1670479
21111,1625013
21111,84384
21111,3032475
21111,3032476
21111,3032477
21111,2214123
21111,2412677
21111,2412679
21111,16811
21111,3910768
21111,2823180
21111,3794648
21111,4347
21111,4299
73988,2102583
73988,136403
73988,1999091
73988,1050881
73988,2954
73988,33663
73988,2301996
73988,1461
73988,95778
73988,1230060
73988,1165240
73988,1280183
73988,1152
73988,3331792
73988,120578
73988,3032475
73988,3032476
73988,3032477
73988,57738
73988,1141815
73988,1204877
73988,23626
73988,937663
73988,1931175
73988,1257876
73988,1051824
73988,1998031
73988,1116399
73988,102786
73988,18802
1050881,7447
1050881,1420
1050881,2102600
1050881,225009
1050881,6431
1050881,8289
1050881,214317
1050881,13716
1050881,117180
1050881,57738
1050881,1141815
1050881,1204877
1050881,3032475
1050881,3032476
1050881,3032477
1050881,146964
1050881,1171032
1050881,1190206
1050881,3794648
1050881,4347
1050881,4299
2803017,2803001
2954,33663
2954,2301996
2954,25072
2954,3910
2954,1241
33663,1145892
33663,1807640
33663,557911
33663,7447
33663,1748
33663,11161
33663,2301996
33663,27765
33663,1167702
33663,1167703
33663,2323039
33663,2339577
33663,10127
33663,1229169
33663,103
33663,102786
33663,3553309
33663,150882
33663,16214
33663,227811
33663,1222706
33663,1116399
33663,18802
33663,1816204
33663,1816207
33663,3342345
33663,1954181
33663,240633
33663,80757
33663,1003978
33663,65605
33663,1562927
33663,2547400
33663,1666438
33663,2266228
33663,2435679
33663,2266230
33663,56446
33663,216075
33663,568535
33663,1326321
33663,57342
33663,60342
33663,2041195
33663,2607708
33663,16620
33663,77120
33663,67273
33663,4381182
33663,1184450
33663,28151
33663,2982422
33663,3242458
33663,1965392
33663,7063
33663,1326448
33663,2214123
33663,2412677
33663,2412679
33663,21397
33663,134
33663,3981237
33663,1258041
33663,2521527
33663,1600254
33663,567335
33663,115788
33663,112219
33663,25504
33663,160733
2301996,2189100
2301996,1671675
2301996,1644623
214317,13716
214317,117180
13716,117180
13716,21278
13716,13724
13716,7447
117180,1428889
